headline,date,document_type,type_of_material,section_name,keywords,snippet,source,lead_paragraph
Dog Catcher Gets Off Hook In Case of Roaming Pigs,1964-11-15,article,Archives,Archives,['Livestock'],owner to fence pigs in,The New York Times,"MARLBORO, N. J., Nov. 14—The dog catcher here can forget the roaming pigs. The order went out from the township council here, resol ving a problem that began Tuesday when Mayor Walter C. Grubb Jr.'s car was blocked by a band of pigs near the town dump. Infuriated, the Mayor hadordered the dog catcher to round up the pigs."
"Man, 73, Chasing Pet Dog, Killed by Train in Bronx",1964-04-08,article,Archives,Archives,[],,The New York Times,A 73‐year‐old man was killed by a train yesterday as he pursued his daughter's dog that ran across the New York Central Railroad tracks in the Bronx near the Harlem River.
News of Dogs; Toy Dog Exhibitor on Scene 50 Years,1964-07-02,article,Archives,Archives,[],,The New York Times,"FORTY‐SEVEN years ago Mrs. Cecilia de la Torre Bueno applied to the American Kennel Club for a kennel name. On Feb. 19, 1917, she received a certificate from the organization, then at 1 Liberty Street, signed by the secretary, A. P. Vrendenburgh, saying that the All Celia's Kennel name has been “duly granted.”"
"Collie Is a Friendly, Family Dog Who's Not Too Show Conscious",1964-12-31,article,Archives,Archives,[],,The New York Times,"THE collie was described as a “do‐it‐yourself” breed so far as showing was concerned by Sara Barbaresi of Southbury, Conn., the other day. She should know. She has"
Blind Woman Invokes Right to Enter Eating Place With Dog,1964-11-13,article,Archives,Archives,"['HOTELS, BARS, MOTELS, NIGHT CLUBS AND RESTAURANTS', 'BLINDNESS AND THE BLIND']","Mrs Keitlen sues, NYC, to sustain her legal right to enter restaurant with guide dog",The New York Times,A blind woman executive has asked a city court to sustain her legal right to enter an eating place with a guide dog and be served.
"Dog‐Loving Judge Likes People, Too, And Bars Eviction",1964-05-14,article,Archives,Archives,"['Dogs', 'Housing']",Civil Ct bars eviction of dog-owning family from project which has 'no-animal' lease,The New York Times,"A dog's best friend yesterday was a Civil Court judge who ruled that, after all, humans are animals too."
Jets' Blockers Plan to Exploit Red‐Dogging by Patriots Sunday,1964-09-24,article,Archives,Archives,[],,The New York Times,"The esoteric nomenclature of football includes the term “watch‐out blocker.” It refers to a player on offense who is supposed to block for his quarterback on pass plays. When he misses his man, he turns quickly to the quarterback and shouts, “Watch out!”"
Foreign Affairs; Did You Ever See a Dog Walking?,1964-06-22,article,Archives,Archives,"['HUMOR AND WIT', 'Politics and Government']","C L Sulzberger on 'Armenian radio,' fictitious source of anti-regime jokes; some jokes cited",The New York Times,"PARIS—The world's most influen‐tial broadcasting station is perhaps the “Armenian radio” which trans‐mits biting commentaries through‐out the U.S.S.R. and which, inci‐dentally, does not exist. Armenia is a Soviet Republic whose popula‐tion is renowned for mordant wit. The “Armenian radio” is therefore a contrived name for the source of anti‐regime jokes."
Glen Cove Boy Finds a Lost Dog And Sends It Back to California,1964-07-09,article,Archives,Archives,[],,The New York Times,"An 11‐year‐old boy and a lost dog found each other on the streets of Glen Cove, L.I., just two weeks ago, and the boy took the dog home."
"News of Dogs; Australian, a Terrier Devotee, Turns Up With a Picture Dog",1964-12-24,article,Archives,Archives,[],,The New York Times,"TED SUTPHEN of Freehold, N. J., a tall, strapping devotee of the relatively rare Australian terrier breed, who played soccer and baseball at Peddie and Phelps Schools, finds more excitement in dog shows than in other sports suitable to persons living sedentary lives, like golf, for examnle."
Spaniel Fixtare Next Weekend Ushers In New Dog Show Year,1964-12-27,article,Archives,Archives,[],,The New York Times,"ANEW dog show year will begin, as it always does, with the American Spaniel Club national specialty at the Hotel Roosevelt next Saturday and Sunday. It is a great gathering place for fanciers of many interests even though none but the spaniel breeds can be entered. The entry is 334, a gain of News 24 dogs from last of year. Represented are four breeds. Dogs As usual, cocker spaniels are by far the most numerous. There are 237 of them in the three varieties‐75 blacks, 94 ascobs and 68 parti‐colors—and the chances are that one of them will become best in show."
Miss Bryar Leads Field In 16‐Mile Dog‐Sled Race,1964-01-14,article,Archives,Archives,[],,The New York Times,"MEREDITH, N. H., Jan. 13 (UPI)—Jean Bryar of Center Harbor piloted a team of nine Alaskan huskies over a 16‐mile ice‐packed course in 52 minutes 26 seconds yesterday to win her first race of the season. The race's sponsor was the New England Sled Dog Club."
"Dr. Joseph E. Redden, 73, Judge at Dog Shows, Dies",1964-03-12,article,Archives,Archives,['DEATHS'],"Redden, Jos E",The New York Times,"SPRINGFIELD, Mass., March 11—Dr. Joseph E. Redden of East Longmeadow, nationally known as a judge at dog shows, died on Monday in Mercy Hospital at the age of 73."
SOKOLSKY'S DOG IS BEST IN JERSEY; Newfoundland Newton Takes Honors at Flemington,1964-08-03,article,Archives,Archives,[],,The New York Times,"FLEMINGTON, N. J., Aug. 2 —A 165-pound Newfoundland, the biggest dog of the finalists in the ring, romped off with the biggest awar at the Hunterdon Hills Kennel Club show at the Flemington Fairgrounds today."
News of Dogs; New England's Scenic Circuit Is Popular With Dog Fanciers,1964-07-05,article,Archives,Archives,[],,The New York Times,MANY dog fanciers plan their vacations for this time of the year so they can make the Scenic Circuit of New England the scene of their holidays.
News of Dogs; Upstate Dog Shows Register Satisfactory Gains in Entries,1964-11-01,article,Archives,Archives,[],,The New York Times,"NEXT weekend's dog shows in Schenectady and Syracuse have registered satisfactory gains in entries over last year, but the same cannot be said about the one in Elizabeth, N. J., today."
News of Dogs; Pro Dog Handler Abandons Leash And Takes Up Lens,1964-11-26,article,Archives,Archives,[],,The New York Times,"“A DOG has so many moving parts that there is only one right time to take a picture of him,” said William P. Gilbert of Somerville, N. J., who has just given up his license as a professional handler to become an official photographer at dog shows.. “A tongue may emerge or the eyes may close or the ears may fall out of the proper position or the tail may swish.” There have been only two official photographers at most of the East's dog shows for many years. Evelyn Shafer of New York is continuing. William Brown of New Hyde Park, L. I., has entered semiretirement. He plans to work at about a dozen shows a year, including Westminster. Gilbert is his successor. The younger man was cornered at the Dog Fanciers Luncheon Club meeting a week ago for his views on dog photography."
News of Dogs; Westminster Dog Show Winner Leads Busy Life of a Celebrity,1964-02-20,article,Archives,Archives,[],,The New York Times,"WHAT happens to a dog after he wins best in show at America's foremost bench event, the Westminster Kennel Club show in Madison Square Garden? Robert Forsyth of Chappaqua, N. Y., handler for the whippet that turned that impressive trick last week, took time out yesterday to answer the question in the lobby of a Madison Avenue bank, of all places. It was at the week‐long special show the Manhattan Savings Bank is conducting this week."
MOVIES ARE MADE IN HEART CHAMBER; Image Carried to Camera by Tube in Dog's Artery,1964-04-17,article,Archives,Archives,"['Heart', 'OPTICAL GOODS']",Dr Gamble takes motion pictures inside dog's beating heart without opening chest with device using optical glass fibers,The New York Times,"CHICAGO, April 16 — A heart specialist has taken motion pictures inside a beating heart without opening the chest."
BANKER IN MIAMI STABBED TO DEATH; Assailant Escapes Unseen Despite Dog's Barking,1964-07-01,article,Archives,Archives,[],"Stabbed to death, Miami",The New York Times,"MIAMI, June 30 (AP) —Jacques Mossler, a millionaire banker, was stabbed to death early today by an assailant who got away unseen despite the frantic barking of the victim's chained dog."
PET SITTER GIVES APERSONALTOUCH; Visits Apartment to Make the Dog Feel at Home,1964-07-26,article,Archives,Archives,['Animals'],L Israel operates Animal Sitters Un-Ltd; illus,The New York Times,Now pets can have a sitter.
LASSIE'S MASTER MAY NOT RETURN; Format Change Considered for C.B.S. Dog Series,1964-02-05,article,Archives,Archives,[],,The New York Times,"Lassie, the dog whose show has more lives than a cat. may be without his young master, Timmy, when the new television season starts next fall."
RED DOG SCORES IN RECORD TIME; Captures Sussex Handicap and Ties Delaware Mark,1964-07-12,article,Archives,Archives,[],,The New York Times,"STANTON, Del., July 11 (AP) —Mrs. Walter M. Jeffords's Red Dog won the $27,850 Sussex Handicap today and equaled the Delaware Park course record. Red Dog paid $14.40 for $2 to win."
"Wood, Field and Stream; Electric Dog: Bird Shooter of Future Will Need Engineering Degree",1964-11-15,article,Archives,Archives,[],,The New York Times,"SOMEONE—it was probably Ed Zern, the woodland humorist — once wrote about the hunting dog of the future: a mechanical monster, computerized, with a solidstate brain, a nose of pure selenium and a built‐in woofer as well as a tweeter."
The Good Old Days?; Show Judge Says Dog Rings Weren't As Competitive Then as Now,1964-01-02,article,Archives,Archives,[],,The New York Times,"HOLLIS WILSON of Amherst, Wis., a long‐time professional handler turned judge at dog shows, thinks dogs today are superior to those of 40 years ago, when he started as a handler. He says that those who like to glorify the dogs of the past have no real way to compare them with modern dogs and fail to give proper credit to those now in the rings. He thinks that many persons are inclined to live too much in the past or look too much to the future."
"Wood, Field and Stream; It Takes Three Men and a Good Dog to Outsmart Cagey Pheasant",1964-12-06,article,Archives,Archives,[],,The New York Times,"MILLBROOK, N. Y., Dec. 5 —The old cock pheasant scooted along the strip of corn. A dozen yards behind him came Shot, a lean, hardworking German short‐haired pointer following him by ground scent."
BOY AND HIS DOG COME TO PARTING; Timmy Is Leaving ‘Lassie’ After Decade of Adventure,1964-03-05,article,Archives,Archives,"['TELEVISION AND RADIO', 'AWARDS AND CONTESTS']",Internatl Radio-TV Soc award to L H Goldenson,The New York Times,"The combination of a boy and a dog, which has made “Lassie” a television hit for 10 years, will be broken up at the end of this season. Next fall the dog Lassie will have a forest ranger as a master and the boy Timmy will no longer be in the cast."
News of Dogs; Del Monte Dog Show Will Limit Entries to Blue Ribbon Winners,1964-12-20,article,Archives,Archives,[],,The New York Times,"THE Del Monte Kennel Club dog show, which is billed as “the classic of the Pacific,” hopes in time to fit the description in a real sense and has taken a step toward fulfillment."
DEERFIELD DRIVER SLED‐DOG WINNER; His 14 Huskies Are Biggest and Fastest at Laconia,1964-02-24,article,Archives,Archives,[],,The New York Times,"LACONIA, N. H., Feb. 23—Dr. Charles Belford, a 44‐yearold Deerfield, Mass., man with the best and biggest team and the competitive spirit to match, became today the winner of the sled‐dog world championship, Laconia division, as virtually everybody expected."
"News of Dogs; Total Entries Will Exceed 4,000 In Dog Shows Here Next Week",1964-02-02,article,Archives,Archives,[],,The New York Times,"THE number of dogs that have been entered in 19 breed specialty events at six Manhattan locations next Sunday is 1,539. Westminster will begin in Madison Square Garden the next day with 2,547."
News of Dogs; New York Will Become Capital of Dog Show World Next Month,1964-01-05,article,Archives,Archives,[],,The New York Times,"THE mails bore premium lists last week for the specialty shows that will make the days immediately preceding Westminster active for the adherents of many breeds next month. The circulars distributed by the Foley Organization were for the Associated Terrier, American Boxer and American Pomeranian Clubs events on Feb. 9 and for that of the Rhodesian Ridgeback Club of the United States on Feb. 8. A. Dowell Mansfield had sent the entry forms for the Combined Setter Clubs of America competition on Feb. 9 earlier."
PETTICOAT CHANGES C.B.S. Series Gets a New Writer New Dog and a Second Heavy,1964-07-19,article,Archives,Archives,[],,The New York Times,"IT used to be an axiom of the business and sporting worlds always to stay with a winner, but television's bright young men are rewriting most of the rules."
"FLEETFOOT BEST IN 1,174‐DOG SHOW; Whippet Is Victor at Garden City—Keeshond Scores",1964-05-17,article,Archives,Archives,[],,The New York Times,"GARDEN CITY, L. I., May 16—Ch. Courtenay Fleetfoot of Pennyworth maintained his winning ways today as he defeated 1,173 dogs in today's Ladies' Kennel Association dog show on the grounds of the Garden City Hotel."
News of Dogs; Old Dog Show Seeks New Tricks To Draw Fans in Holiday Season,1964-01-30,article,Archives,Archives,[],,The New York Times,"Baltimore's residents turn out as enthusiastically on a Saturday as they always have on Sunday ? The answer will be given Nov. 28, when the club's fixture is held for the first time under the new policy. The 51‐yearold show always has been a financial success, although small in the number of entries for the time it consumes. The number of dogs usually is about 600. There cannot be many more because of space limitations on the lower floor of the Fifth Regiment Armory."
ENGLISH SETTER IS BEST IN SHOW; Mrs. Porter's Dog Wins 9th Award at Valley Forge,1964-09-21,article,Archives,Archives,[],,The New York Times,"COLLEGEVILLB, Pa., Sept. 20—Ch. Candlewood Distinction, a 6-year‐old orange Belton English setter owned by Mrs. Cheever Porter of New York, captured best‐in-show honors over 686 opponents today at the 17th annual. Valley Forge Kennel Club fixture."
"SUNBEAM, POODLE, TAKES TOP AWARD; Miniature Best at 685‐Dog Bryn Mawr Fixture",1964-06-14,article,Archives,Archives,[],,The New York Times,"BRYN MAWR, Pa., June 13 —Ch. Pixiecroft Sunbeam, an apricot miniature poodle owned by Mrs. Gardner Cassatt of Bryn Mawr, Pa., scored in a field of 685 dogs today to take the best‐in-show rosette at the 44th annual Bryn Mawr Kennel Club fixture."
News of Dogs; Dog‐Handling Actress Has Role; When Show Biz Goes to the Dogs,1964-06-18,article,Archives,Archives,[],,The New York Times,"MRS. PERCY M. HOOPES walked into the ring at the Westminster show in 1924 and showed a pair of beagles. They both had the Saddlerock prefix— the Hoopes kennel name. Last February, Mrs. Hoopes again walked into the ring at the Garden. Again she had a pair of beagles. “I did better this year than I did 40 years ago,” she said. “My Saddle‐rock Sound of Music and Saddle‑ rock Saratoga Song won the prize as the best beagle brace. I didn’t get a blue ribbon at the ’24 show.” Her victory last February drew the greatest applause of the day around the beagle ring. The breed's fanciers and dog‐show old timers alike stood to salute her. Every year since 1924, there has been a Saddlerock entry at Westminster."
"Wood, Field and Stream; Dog and Decoy Man Team to Trap Duck at Refuge Ponds in Britain",1964-11-27,article,Archives,Archives,[],,The New York Times,"THE elegant, blond woman in the East Side aerie who keeps a weather eye out for exotic items involving wildlife and passes them along to this corner has come up with a gem."
News of Dogs; A Menu for M. and Mme. Dog; The France Also Has Carpeted Cages for Canine Passengers,1964-06-14,article,Archives,Archives,"['Dogs', 'GENERAL', 'Ships and Shipping', 'INTERNATIONAL SERVICES']",comment on facilities for dogs on liners France and Queen Elizabeth; French menu illus,The New York Times,THERE is nothing like a sea trip to improve an appetite—human or canine. Not that there is anything wrong with the average dog's gustatory desires. The yearly pet food bill in the United States is $350 million.
CH. MERRY ROYER WINS BREED PRIZE; Mrs. Abbott's Dog Picked at English Setter Show,1964-10-05,article,Archives,Archives,[],,The New York Times,"NEW PRESTON, Conn., Oct. 4—A house pet from Worcester, Mass., Ch. Merry Rover of Valley Run, was chosen best of breed in the largest specialty Show of English setters held in the United States in a decade today."
FLEETFOOT TAKES DOG SHOW HONORS; Whippet Beats Stellar Field in Windham K. C. Event,1964-05-11,article,Archives,Archives,[],,The New York Times,"WILLIMANTIC, Conn., May 10—The 20th all‐breed dog show and obedience trial of the Windham County Kennel Club, came to an end when Robert Waters of British Columbia picked as his best in show the whippet, Ch. Courtenay Fleetfoot of Pennyworth, owned by the Pennyworth Kennels of Newington, N. H., and handled by Robert Forsyth. The Westminster and International best‐in‐show star was faced by a fair array of finalists, nearly all of which had built up impressive records."
"News of Dogs; A Little Dog Is in Big Demand; Yorkshire Terriers Becoming Pets of Stage, Film Stars",1964-07-30,article,Archives,Archives,[],,The New York Times,"THE Yorkshire terrier, a favorite of the aristocracy in the late Victorian era, has become the pet of Hollywood and many Broadway stars. This little toy terrier, whose silken coat hangs to the ground, is in such great demand that many of the kennels have waiting lists. “There has been an unbelievable upsurge in the Yorkies' popularity,” said Mrs. Beryl Hesketh of Westport, Conn., the secretary of the Yorkshire Terrier Specialty Club. “It has been going on for a year now. During the last three months, I have imported nine puppies from England. They all were sold before they arrived here. Right now, I have 15 people who want pups. Although the poodles are far more popular, Yorkie exports from England last year exceeded those of any other breed.”"
News of Dogs; Togetherness: Showing of Dog Is Family Affair; Long Island Couple and 2 Sons Work With Schnauzer,1964-05-07,article,Archives,Archives,[],,The New York Times,"M R. AND MRS. FIAMILTON HERTZ of bMerrick, L.I., had no intention of buying a dog when they saw two standard schnauzers in a motel lobby while visiting their small sons at camp in Binghamton, N.Y., during the summer of 1960. They never had owned a dog and didn't"
News of Dogs; Dog Grooming Is Taught in Greenwich Village; Classes for Owners and Professionals Are Held in Bleecker St. Store,1964-04-02,article,Archives,Archives,[],,The New York Times,A SMALL store on Bleecker Street contains what probably is the only school of its kind in the East and possibly one of two in the country. The curriculum consists of one subject — the teaching of dog grooming.
"News of Dogs; Dog's Life at Sea Is Luxurious; For $50 a Trip, Fido Can Rough It With Roast‐Beef Diet",1964-06-11,article,Archives,Archives,[],,The New York Times,THE dog owner who wants to go abroad this summer but doesn’t want to leave his pet in a kennel back home need have no qualms. He can take his dog aboard ship and the chances are the animal will be living in quarters far more luxurious than he is accustomed to at home.
"News of Dogs; Husky From the Arctic; Work, Devotion and Experience Needed to Develop Top-Flight Sled Dog",1964-02-27,article,Archives,Archives,[],,The New York Times,"THE creation of a firstclass sleddog team was a long, painstaking process that involved many dogs and many weary hours, said Dr. Charles Belford of Deerfield, Mass., and Mrs. Jean Bryar of Center Harbor, N. H., last weekend. They finished first and second, respectively, in the New England version of the world sled ‐ dog championship in Laconia, N. H. They said sub‐ stantially the same thing in separate interviews. “You can't get a good team in two or three years,” said Mrs. Bryar. “You've got to buy, and swap, and train and train, work with the dogs all year long and give them lots of devotion.”"
"News of Dogs; Dog of Another Color; Scotties of Light, Sandy Shade Found After a Two‐Year Search",1964-04-16,article,Archives,Archives,[],,The New York Times,"JANET MACK, who lives in a four‐story brownstone house on West 13th Street with her dogs, devoted more than two years to finding two female wheaten‐colored Scottish terrier puppies. Miss Mack is a small woman of immense determination. She has achieved her goal—a pair of 4 ‐ month ‐ old dogs of the desired light, sandy shade but she had to go to the State of Washington for them. That's how rare the color is in this part of the country. “It is shocking, to say the least, that among some who should know better a fallacy persists that the wheaten color is unnatural in Scottish terriers,” she said. “To the contrary, this seldom seen color of varying depths and shadings goes back to the earliest times. It is recorded in several books written in the middle 1800's. The official standard includes the wheaten as acceptable in the breed.”"
"Wood, Field and Stream; How to Keep Your Wife From Howling When You Get Another Hunting Dog",1964-11-06,article,Archives,Archives,[],,The New York Times,"THERE is no clever, tactful, gentle way to introduce a new puppy into a home governed by a wife who has announced, “If another hunting dog comes in this house the children and I go, period unquote.”"
"First Dogs Of the Land; From Main Street to the White Rouse, the sad‐eyed, long‐eared beagle is top dog.",1964-06-21,article,Archives,Archives,"['Dogs', 'GENERAL', 'Animals']","Johnson theory on yelping cited, article on beagles",The New York Times,"IT is doubtful whether Him and Her, the Johnson beagles who participated in what has since become known as “the great earlift,” hold any grudge against their owner‐hoister, if they even remember the recent incident in the White House Rose Garden. For the record, it should be noted that the President did not lift them entirely to dangle, howling, from their ears, but simply hoisted them off their front feet, beyond doubt an uncomfortable position, but not nearly so. bad as it has been made to sound. Beagles are remarkably good‐natured and forgiving about such things. Even the out‐raged cries of dog‐lovers and Republicans have somewhat abated. In their wake has been left a considerable speculation on the whys and wherefores of a dog of which it has been said, on Presidential authority, “It does them good to let them yelp.”"
POODLE GOES BEST IN 795‐DOG SHOW; Ch. Round Table Cognac Is Tops in Penn Treaty Event,1964-04-27,article,Archives,Archives,[],,The New York Times,"FELTONSVILLE, Pa., April 26—Ch. Round Table Cognac, a 2‐year‐old white miniature poodle owned and bred by Mrs. Alden Keene's Round Table Kennels of Middletown, Del., defeated 794 opponents today to win the best‐in‐show title at the 21st annual Penn Treaty Kennel Club feature. It was his first such award."
RED DOG EQUALS COURSE RECORD; Runs Mile and Sixteenth in  1:40⅘ and Pay $34—Rocky Thumb Wins,1964-05-31,article,Archives,Archives,[],,The New York Times,"STANTON, Del., May 30 (AP) Two long shots, E. Barry Ryan’ Rocky Thumb and Mrs. W. M. Jeffords’ Red. Dog, captured the divisions of the Brandywine Turf Handicap today as Delaware Park opened its 27th race meeting with a crowd of 23,898 a record here."
"Blanche Saunders Dies at 58; An Authority on Dog Training; Kennel Owner, Lecturer and Writer Helped Introduce Now Popular Method",1964-12-10,article,Archives,Archives,['DEATHS'],"Saunders, Blanche",The New York Times,"Miss Blanche Saunders, the leading American exponent of a widely used method of obedience training for dogs, died of a heart attack Tuesday night in the Henry Hudson Hotel, 353 West 57th Street."
The Best of Two Breeds at the Westminster Dog Show at the Garden; INBREEDING HELD HARMFUL TO DOGS; Serious Hareditary Defects Founa in British Study,1964-02-11,article,Archives,Archives,"['Dogs', 'GENERAL']",World Small Animal Veterinary Assn repts Brit veterinary study shows serious hereditary defects result from intensive inbreeding of pedigreed dogs to exaggerate breed characteristics; repts only 17 of 117 breeds found free of defects,The New York Times,"LONDON, Feb. 10—British veterinary groups are worried about the effects of intensive inbreeding of pedigree dogs to exaggerate the characteristics of the breed."
"News of Dogs; Spaniel Club Is Waging Battle To Keep Brittany a ‘Dual Dog’; Show Variety Often Is Bred for Conformation and Type, Field for Stamina",1964-08-16,article,Archives,Archives,[],,The New York Times,"THE Brittany spaniel is a compact dog of medium size, weighing 30 to 40 pounds. Measured from the ground to the highest point of his back — the withers —the Britt may run 171/2 to 201/2 inches."
"News of Dogs; More to a Dog Than Meets Eye; Type, Soundness and Balance Necessary For a Winner; Roberts Has Logged 100,000 Miles a Year as Judge",1964-04-09,article,Archives,Archives,[],,The New York Times,"“A GOOD dog will strike his level even though defeated occassionally, said Percy Roberts of Noroton Heights, Conn., who for 50 years has been a professional dog man. He became 75 years old last week and was one of the judges at the International Kennel Club of Chicago show. “A defeat does not make a dog any worse,” he continued. “When I was a handler I played the percentages. I thought that a dog who could win four out of five times to be outstanding and one that won three out of five times, while not outstanding, still a credit to the breed.”"
